410在玩游戏,https://www.douban.com/people/130866626/,2017-08-03 19:04:05,很差,1," 如果有人愿意陪你看这个电影，就和他结婚吧，因为他一定是真的爱你。
        "
痞影人科莱昂,https://www.douban.com/people/pirealwei/,2017-08-03 16:06:14,很差,1," 一星半。看睡着了，现在国内还有人花钱拍这么明显的纯粉丝向电影，这种勇气就已经非常可嘉了，好看是好看，但也仅限于脸，内容又廉价又土。中国电影人什么时候能学会把花在选流量明星和后期营销上的那股“疯狂砸钱”的狠劲和痛快劲转化成影片剧作的厚度和内容的深度上，什么时候华语电影才能真正进步。
        "
狸太公,https://www.douban.com/people/55022065/,2017-08-03 14:29:28,很差,1," 差就是差，不好就是不好。事实证明，曾经那个靠流量明星+大牌IP就能轻轻松松从观众口袋里骗钱的时代，已经开始越来越远了！
        "
糯米丸子,https://www.douban.com/people/127908787/,2017-08-03 07:58:22,很差,1," 为什么会有这么低廉感的电影，特效玄幻感不如小孩子的肯德基广告，男女主不用说了，尬演，真的太尬了
        "
法兰西胶片,https://www.douban.com/people/flxjp/,2017-08-03 18:13:09,很差,1," 那个头上顶着男性生殖器的宫女把刘亦菲烦得啊，直按太阳穴，还有拉面技巧非常好的杨洋，希望每次去海底捞过生日都能看见他。这些灾难都比悲剧本身来得动人多了。
        "
梦梦梦梦,https://www.douban.com/people/155986723/,2017-08-03 08:50:14,推荐,4," 电影没上映就一直在宣传特效，不得不说这次的特效，布景真的很美很漂亮。刘亦菲杨洋颜值没的挑，个人感觉还不错啊，看到好多人打一星，好像不至于那么差吧。还是值得一看的
        "
Giroro,https://www.douban.com/people/156084837/,2017-08-03 08:37:51,还行,3," 我觉得还好，没有网上说的那么差，就是情节有点乱看的有点懵，但是还好，完全不是一无是处的，特效很棒场景很美，但是大婚的时候刘亦菲造型有点雷，最后散场时好多人说这就没了啊，还有人说，怎么和电视剧还有小说不一样，然后感觉结局有些仓促，有点不懂，别的就没了，还是可以的
        "
棠梨煎雪,https://www.douban.com/people/159159843/,2017-08-03 00:02:56,推荐,4," 电影原创台词和立意高于“原著”唐七太多了。。然后唐七这个黑点没法忽略。。
        "
西楼尘,https://www.douban.com/people/xilouchen/,2017-08-03 18:16:17,很差,1," 这是一场横跨天界鬼族的大型诗会，诗歌内容皆摘抄自QQ空间。鬼族网红玄女以咆哮体诗歌闻名业界，平时对着深渊咆哮我可怜的孩子。天神夜华和上神白浅二人组成夫妻档，无论在青丘温泉，还是瀛洲荒原，彼此将爱的誓言深情朗诵，字字珠玑。这场诗歌的饕餮盛宴震怒了天神，获胜者得到眼球，失败者掉进深渊。
        "
烟灰,https://www.douban.com/people/vera-chi/,2017-08-03 13:44:08,很差,1," 真不懂美在哪儿？真不懂这个电影存在的意义！真不懂这么虚假做作的娱乐产品能有多少人有共鸣？祝早下片尊重一下电影。
        "
